crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2023-2024,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,159049.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,174378.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,142421.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,121132.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,188410.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,188378.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,182044.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,232195.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,January,5,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,184514.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,149955.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
